time,count,word
Thu Oct 31 22:37:36 2019,3,ai
Thu Oct 31 22:51:14 2019,4,ai
Thu Oct 31 22:59:12 2019,7,ai
Thu Oct 31 23:00:14 2019,7,ai
Thu Oct 31 22:57:14 2019,8,ai
Thu Oct 31 22:45:52 2019,8,ai
Thu Oct 31 22:56:14 2019,8,ai
Thu Oct 31 22:58:14 2019,8,ai
Thu Oct 31 22:43:26 2019,9,ai
Thu Oct 31 22:54:14 2019,11,ai
Thu Oct 31 22:55:14 2019,11,ai
Thu Oct 31 22:42:19 2019,11,ai
Thu Oct 31 22:53:16 2019,12,ai
Thu Oct 31 22:52:14 2019,13,ai
Thu Oct 31 22:48:19 2019,14,ai
Thu Oct 31 22:44:44 2019,15,ai
Thu Oct 31 22:47:05 2019,17,ai
Thu Oct 31 22:47:07 2019,1,data
Thu Oct 31 22:51:15 2019,1,data
Thu Oct 31 22:37:38 2019,1,data
Thu Oct 31 22:55:15 2019,1,data
Thu Oct 31 23:00:15 2019,1,data
Thu Oct 31 22:45:53 2019,1,data
Thu Oct 31 22:58:15 2019,1,data
Thu Oct 31 22:44:45 2019,1,data
Thu Oct 31 22:57:15 2019,2,data
Thu Oct 31 22:42:20 2019,2,data
Thu Oct 31 22:54:15 2019,3,data
Thu Oct 31 22:52:16 2019,3,data
Thu Oct 31 22:53:18 2019,3,data
Thu Oct 31 22:52:14 2019,3,good
Thu Oct 31 22:43:26 2019,4,good
Thu Oct 31 22:54:14 2019,4,good
Thu Oct 31 22:37:36 2019,4,good
Thu Oct 31 22:57:14 2019,4,good
Thu Oct 31 22:58:14 2019,4,good
Thu Oct 31 22:47:05 2019,5,good
Thu Oct 31 22:42:19 2019,5,good
Thu Oct 31 22:44:44 2019,5,good
Thu Oct 31 22:56:14 2019,6,good
Thu Oct 31 22:59:12 2019,7,good
Thu Oct 31 22:51:14 2019,8,good
Thu Oct 31 23:00:14 2019,8,good
Thu Oct 31 22:53:16 2019,8,good
Thu Oct 31 22:45:52 2019,8,good
Thu Oct 31 22:55:14 2019,9,good
Thu Oct 31 22:48:19 2019,13,good
Thu Oct 31 22:37:36 2019,49,movie
Thu Oct 31 22:51:14 2019,89,movie
Thu Oct 31 22:42:19 2019,91,movie
Thu Oct 31 22:57:14 2019,105,movie
Thu Oct 31 22:48:19 2019,106,movie
Thu Oct 31 22:47:05 2019,122,movie
Thu Oct 31 22:44:44 2019,122,movie
Thu Oct 31 22:43:26 2019,124,movie
Thu Oct 31 22:56:14 2019,126,movie
Thu Oct 31 23:00:14 2019,127,movie
Thu Oct 31 22:59:12 2019,128,movie
Thu Oct 31 22:58:14 2019,130,movie
Thu Oct 31 22:54:14 2019,131,movie
Thu Oct 31 22:45:52 2019,133,movie
Thu Oct 31 22:53:16 2019,135,movie
Thu Oct 31 22:55:14 2019,137,movie
Thu Oct 31 22:52:14 2019,138,movie
Thu Oct 31 22:56:15 2019,3,spark
Thu Oct 31 22:57:15 2019,4,spark
Thu Oct 31 22:42:20 2019,4,spark
Thu Oct 31 22:37:38 2019,5,spark
Thu Oct 31 22:55:15 2019,5,spark
Thu Oct 31 22:52:16 2019,5,spark
Thu Oct 31 22:47:07 2019,6,spark
Thu Oct 31 22:51:15 2019,6,spark
Thu Oct 31 22:59:13 2019,7,spark
Thu Oct 31 22:53:18 2019,7,spark
Thu Oct 31 22:45:53 2019,7,spark
Thu Oct 31 22:58:15 2019,8,spark
Thu Oct 31 22:48:20 2019,9,spark
Thu Oct 31 23:00:15 2019,9,spark
Thu Oct 31 22:54:15 2019,11,spark
Thu Oct 31 22:44:45 2019,12,spark
Thu Oct 31 22:43:28 2019,13,spark
